nombre,username,contenido,comentarios,reacciones,compartido
Guillermo Lasso,@LassoGuillermo,"·Mi compañera, mi punto de apoyo, la Primera Dama del Ecuador @MLAlcivar. #JuntosLoLogramos",548,18.3K,2.4K
Guillermo Lasso,@LassoGuillermo,"·“Este 24 de mayo de 2021, empezamos a construir la cultura del ENCUENTRO y de la RECONCILIACIÓN en el Ecuador.
Es momento de trabajar juntos, por los graves problemas, que hoy enfrenta nuestra nación.” - @GuadalupeLlori, Presidenta de la Asamblea Nacional. #JuntosLoLogramos",125,3.6K,621
Guillermo Lasso,@LassoGuillermo,"·Agradezco a la Presidenta de la Asamblea Nacional @GuadalupeLlori por recibirnos. 

Ante esta institución, la Casa del Pueblo, reiteramos nuestra vocación de servicio y de representar los intereses de todos los ecuatorianos. #JuntosLoLogramos",68,2.1K,363
Guillermo Lasso,@LassoGuillermo,"·Llegamos a la Asamblea Nacional. Agradecido de empezar esta nueva etapa junto a ustedes.

HICIMOS HISTORIA. 

Logramos escucharnos unos a otros, encontrarnos y trabajar en equipo, y seguiremos haciéndolo. Ese es mi compromiso en el Ecuador del encuentro. #JuntosLoLogramos",120,3.8K,664
Guillermo Lasso,@LassoGuillermo,·GRATITUD.#JuntosLoLogramos,791,18.8K,2.8K
Guillermo Lasso,@LassoGuillermo,"·Este #24deMayo celebramos con orgullo el inicio de una nueva historia, así como hace 199 años en la #BatallaDelPichincha, donde la libertad fue la bandera de lucha. 

En honor a los héroes de la Patria, trabajaremos por un mejor futuro para el Ecuador. #JuntosLoLogramos",258,5.7K,1K
Guillermo Lasso,@LassoGuillermo,"·Esta mañana asistí al Tedeum en la Catedral Metropolitana de Quito junto a mi familia.

Se me vienen a la mente recuerdos de mis padres y de mi hermano mayor Enrique, quienes me enseñaron el valor del servicio. 

Estaré siempre agradecido de tener la oportunidad de servirles.",208,4.2K,610
Guillermo Lasso,@LassoGuillermo,"·A las 9h30, los invito a acompañarme en la ceremonia de cambio de mando. Hoy es un día de celebración y encuentro, el futuro que le espera al Ecuador es brillante. ¡Empieza el cambio!

FB: YT: #JuntosLoLogramos",698,6.6K,1.3K
Guillermo Lasso,@LassoGuillermo,"·La democracia se fortalece compartiendo nuestras ideas. Agradezco la invitación al Foro Iberoamericano: Desafíos de La Libertad, espacio que nos impulsa a encontrarnos por la libertad en todo el mundo.

Empezamos una nueva historia, una que incluye a todos los ecuatorianos. ",114,2.8K,464
Guillermo Lasso,@LassoGuillermo,"·Entre reuniones, preparándonos para mañana.",935,15.5K,1.3K
Guillermo Lasso,@LassoGuillermo,·Fue un honor recibir al Rey Felipe VI de España. Encuentros como este son fundamentales para fortalecer la relación entre nuestros países. Nuestro objetivo es brindar oportunidades de bienestar y prosperidad para todos. ,135,5.1K,709
Guillermo Lasso,@LassoGuillermo,"·Con @jmerchanhaz iniciamos en 2008 este trabajo para elaborar un Plan de Gobierno solidario. Hoy, tengo el orgullo de anunciar que será Secretario de Planifica Ecuador. Confío en su liderazgo y capacidad para la implementación de políticas públicas efectivas para el desarrollo.",108,1.2K,273
Guillermo Lasso,@LassoGuillermo,"·Un compañero de ruta, quien ha dirigido el tanque de pensamiento @ecuadorlibre y la elaboración de los Planes de Gobierno, se une como Consejero Presidencial. @AparicioCaicedo es una gran guía para este proyecto político. Hoy pone sus capacidades al servicio del país.",527,2.4K,525
Guillermo Lasso,@LassoGuillermo,"·En el Gobierno del encuentro, @MarceloHCabrera se unirá como Ministro de Transporte y Obras Públicas. Tendrá a su cargo una importante cartera de Estado para promover oportunidades de crecimiento y modernización. Impulsaremos la reactivación y obras de desarrollo. ",233,1.9K,336
Guillermo Lasso,@LassoGuillermo,"·El Secretario General de Comunicación será @Edu_Bonilla. Por más de 15 años Eduardo ha trabajado en este proyecto político: en el Plan de Gobierno, en territorio y en la comunicación de la campaña. 100% comprometido, dedicado, y con voluntad de trabajar por el cambio.",160,1.5K,280
Guillermo Lasso,@LassoGuillermo,"·Hace más de 30 años trabajo junto a Iván Correa, próximo Secretario General de la Administración Pública. Doy fe que es un gran profesional, que desde el inicio de este proyecto político estuvo presente, apoyando cada paso en este camino hacia #ElEcuadorDelEncuentro. ",106,1.5K,258
Guillermo Lasso,@LassoGuillermo,"·El espíritu emprendedor y luchador de los ecuatorianos lo veo reflejado en @nielsolsenp, futuro Ministro de Turismo. Ecuador tiene un gran potencial turístico que debemos aprovechar. Saldremos adelante, reactivando al sector con promoción y respiro financiero.

¡Encontrémonos! ",94,1.4K,234
